Figure 3
First algorithm: Combined
0, 0, 0, 0, 0, 0, 0.0
0, 0, 0, 0, 0, 100, 0.0
0, 0, 0, 0, 100, 0, 0.0
0, 0, 0, 0, 100, 100, 0.0
100, 0, 0, 0, 0, 0, 0.0
100, 0, 0, 0, 0, 100, 0.0
100, 0, 0, 0, 100, 0, 0.0
100, 0, 0, 0, 100, 100, 0.0
0, 100, 0, 0, 0, 0, 0.0
0, 100, 0, 0, 0, 100, 0.0
0, 100, 0, 0, 100, 0, 0.0
0, 100, 0, 0, 100, 100, 0.0
100, 100, 0, 0, 0, 0, 0.0
100, 100, 0, 0, 0, 100, 0.0
100, 100, 0, 0, 100, 0, 0.0
100, 100, 0, 0, 100, 100, 0.0
Changing algorithm to: Combined_ISP
0, 0, 0, 0, 0, 0, 0.0
0, 0, 0, 0, 0, 100, 0.0
0, 0, 0, 0, 100, 0, 0.0
0, 0, 0, 0, 100, 100, 0.0
100, 0, 0, 0, 0, 0, 0.0
100, 0, 0, 0, 0, 100, 0.0
100, 0, 0, 0, 100, 0, 0.0
100, 0, 0, 0, 100, 100, 0.0
0, 100, 0, 0, 0, 0, 0.0
0, 100, 0, 0, 0, 100, 0.0
0, 100, 0, 0, 100, 0, 0.0
0, 100, 0, 0, 100, 100, 0.0
100, 100, 0, 0, 0, 0, 0.0
100, 100, 0, 0, 0, 100, 0.0
100, 100, 0, 0, 100, 0, 0.0
100, 100, 0, 0, 100, 100, 0.0
Changing algorithm to: Combined_ISP
